Dataset,Samples,Model,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,ROC_AUC_Mean,ROC_AUC_Std
Adult,10,CatBoost,0.762657385607534,0.04348952295005049,0.5674775340238705,0.2812304919061023,0.14217279726261758,0.11793433890085861,0.21404899832336072,0.15057843218067368,0.7122340589022084,0.12999586722508116
Adult,10,LightGBM,0.7606715119254785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Adult,10,TabPFN,0.7525847067253557,0.04193627611079726,0.4991880533710856,0.3442384898904125,0.1500427715996578,0.15968403113631327,0.1869070963349248,0.17422280687406533,0.7003607296048655,0.12008088835804914
Adult,10,XGBoost,0.7606715119254785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Adult,20,CatBoost,0.7807145050670489,0.01814777819807324,0.6040735364534694,0.09825451639987423,0.28665526090675786,0.16952435979155095,0.36051750519096465,0.15352849854864098,0.7580067789906086,0.05625612957373798
Adult,20,LightGBM,0.7606715119254785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Adult,20,TabPFN,0.760712457774593,0.036620834712875715,0.5292806308059215,0.11134011834951615,0.23977758768177931,0.15359965696013686,0.2971878438686974,0.17857278105605087,0.7201246045886196,0.0824991141522414
Adult,20,XGBoost,0.766403930801515,0.026720500053049098,0.5138276724405352,0.10753233133639056,0.30153977758768175,0.1936573624365833,0.35276505098266353,0.17047776887606475,0.7541134237666889,0.07406911193382816
Adult,35,CatBoost,0.7940423789538336,0.022225031043778178,0.7074996883071304,0.08372541050650444,0.23669803250641572,0.16341734731760346,0.3316783883560091,0.1680774465141339,0.8163466250496872,0.029397317995967835
Adult,35,LightGBM,0.7606715119254785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Adult,35,TabPFN,0.7915856280069609,0.03008588386958346,0.6431792416439195,0.3824832842283208,0.22035928143712571,0.2318949361334942,0.2797645475267377,0.27580311503229266,0.8189084026997623,0.03693410898511607
Adult,35,XGBoost,0.7662606203296141,0.022432641303513672,0.5243195910191097,0.09771035019533374,0.3911890504704876,0.177942346324021,0.42778791023521895,0.12171551945426096,0.7473009111829977,0.08047442512493072
Adult,50,CatBoost,0.8057119459514791,0.008026652827605072,0.7100153564123575,0.07842333252843824,0.36655260906757914,0.1733419009979153,0.4568254023488848,0.10583640931078092,0.8227974237809633,0.03916808492104623
Adult,50,LightGBM,0.7711945951479169,0.015865757034249372,0.53886106879078,0.04699793149757785,0.37313943541488453,0.12277557694686657,0.4295427609359507,0.08194235289862103,0.7682503267298956,0.032716574519810415
Adult,50,TabPFN,0.8076568737844202,0.012658286905675494,0.689221163777768,0.06596823329119265,0.40290846877673225,0.19072560821170265,0.4818554913190397,0.11191990549102392,0.8428826699792641,0.027661716185113497
Adult,50,XGBoost,0.7849933462995189,0.019970364604736054,0.5847807699558152,0.08297079140845655,0.4485885372112917,0.17323538077734743,0.4861002936659772,0.09370638000064313,0.7920919968702078,0.036353411720077534
