Dataset,Samples,Metric,Model,Mean,Std,N
Adult,75,Recall,CatBoost,0.42403763900769886,0.09623020607372043,5
Adult,75,Recall,TabPFN,0.4852865697177074,0.14037512595028337,5
Adult,75,F1,XGBoost,0.49344489965622723,0.06564873581408756,5
Adult,75,F1,LightGBM,0.5080362807356696,0.06392264972786672,5
Adult,75,F1,CatBoost,0.516073288656688,0.06171715055709772,5
Adult,75,F1,TabPFN,0.5495195469378433,0.09951072227208693,5
Adult,75,ROC_AUC,XGBoost,0.7902558398975739,0.04111124460617785,5
Adult,75,ROC_AUC,LightGBM,0.7905248963403143,0.053700951892021655,5
Adult,75,ROC_AUC,CatBoost,0.840631488623192,0.03182442138734974,5
Adult,75,ROC_AUC,TabPFN,0.851332613623897,0.029450433805343002,5
Adult,100,Accuracy,XGBoost,0.7896816460231344,0.01969629412092455,5
Adult,100,Accuracy,LightGBM,0.7842358480908997,0.021713898810622953,5
Adult,100,Accuracy,CatBoost,0.8197154263486539,0.014776608975525601,5
Adult,100,Accuracy,TabPFN,0.8173815129491249,0.015297946800263213,5
Adult,100,Precision,XGBoost,0.5895108634625813,0.07780852953747992,5
Adult,100,Precision,LightGBM,0.5720738278299269,0.07070777398558717,5
Adult,100,Precision,CatBoost,0.6982165764948789,0.0850874059905162,5
Adult,100,Precision,TabPFN,0.6711618249207619,0.08337156477486903,5
Adult,100,Recall,XGBoost,0.4733105218135158,0.12612277942147315,5
Adult,100,Recall,LightGBM,0.4654405474764756,0.11910734770765906,5
Adult,100,Recall,CatBoost,0.4643284858853721,0.0832677475774331,5
Adult,100,Recall,TabPFN,0.5144568006843456,0.13049943794173616,5
Adult,100,F1,XGBoost,0.5110071069843178,0.07751476534657303,5
Adult,100,F1,LightGBM,0.5012017160687899,0.07803507498745456,5
Adult,100,F1,CatBoost,0.5488746191913637,0.050306636612224835,5
Adult,100,F1,TabPFN,0.5658925104694654,0.08167024641763015,5
Adult,100,ROC_AUC,XGBoost,0.7985872594162273,0.04726452531872195,5
Adult,100,ROC_AUC,LightGBM,0.7925524865834397,0.051683299972370554,5
Adult,100,ROC_AUC,CatBoost,0.8590712283259767,0.01441135220690067,5
Adult,100,ROC_AUC,TabPFN,0.8619097291891791,0.020919417472773108,5
Adult,150,Accuracy,XGBoost,0.8049749206674172,0.01608678855622266,5
Adult,150,Accuracy,LightGBM,0.7971337905619819,0.012663749199884368,5
Adult,150,Accuracy,CatBoost,0.8297471593817176,0.007953342537971227,5
Adult,150,Accuracy,TabPFN,0.827065206264715,0.010797793839887595,5
Adult,150,Precision,XGBoost,0.624842239096105,0.0748967089279474,5
Adult,150,Precision,LightGBM,0.5965178793938554,0.04666984645542706,5
Adult,150,Precision,CatBoost,0.7067371036042873,0.07705317174495432,5
Adult,150,Precision,TabPFN,0.6798509958905079,0.0741706945443628,5
Adult,150,Recall,XGBoost,0.5132591958939264,0.08307000059914922,5
Adult,150,Recall,LightGBM,0.5056458511548332,0.0965754874765365,5
Adult,150,Recall,CatBoost,0.5194183062446535,0.08117290147017978,5
Adult,150,Recall,TabPFN,0.5593669803250642,0.08915565280020396,5
Adult,150,F1,XGBoost,0.5549984075442541,0.03612833220380654,5
Adult,150,F1,LightGBM,0.5398849435203363,0.054310538443486,5
Adult,150,F1,CatBoost,0.5910027617153026,0.03315162301795976,5
Adult,150,F1,TabPFN,0.6051320011836931,0.029284402965012828,5
Adult,150,ROC_AUC,XGBoost,0.8347914932002309,0.015279293262983759,5
Adult,150,ROC_AUC,LightGBM,0.8125237154734881,0.03145045562700488,5
Adult,150,ROC_AUC,CatBoost,0.8724493915450718,0.0059462537171441395,5
Adult,150,ROC_AUC,TabPFN,0.8693438315133963,0.012296947409991009,5
Adult,250,Accuracy,XGBoost,0.8174634046473539,0.006235593741938395,5
Adult,250,Accuracy,LightGBM,0.8118947691677756,0.007021347596317018,5
Adult,250,Accuracy,CatBoost,0.8397379465656669,0.003989332036576852,5
Adult,250,Accuracy,TabPFN,0.8350905926911659,0.0061529568746642215,5
Adult,250,Precision,XGBoost,0.6479270143723761,0.019197073619491523,5
Adult,250,Precision,LightGBM,0.6358878813965878,0.030562492171638287,5
Adult,250,Precision,CatBoost,0.7381932350398327,0.05195121746337002,5
Adult,250,Precision,TabPFN,0.7021676779280756,0.04296972501865593,5
Adult,250,Recall,XGBoost,0.5219846022241231,0.043733411622481164,5
Adult,250,Recall,LightGBM,0.5076133447390933,0.03991463463334294,5
Adult,250,Recall,CatBoost,0.5220701454234389,0.05919008362629902,5
Adult,250,Recall,TabPFN,0.5497005988023952,0.05703829761224845,5
Adult,250,F1,XGBoost,0.5770792570322036,0.02608288762426951,5
Adult,250,F1,LightGBM,0.5630470880932397,0.020911165984346853,5
Adult,250,F1,CatBoost,0.6076925576076277,0.02982682678074376,5
Adult,250,F1,TabPFN,0.6134702066857993,0.027407995327843937,5
Adult,250,ROC_AUC,XGBoost,0.8553515208466509,0.0070032460645561906,5
Adult,250,ROC_AUC,LightGBM,0.8481842704808965,0.009302575042051897,5
Adult,250,ROC_AUC,CatBoost,0.8880727270299358,0.003529290794552523,5
Adult,250,ROC_AUC,TabPFN,0.8860939347442722,0.005744058216934244,5
Adult,500,Accuracy,XGBoost,0.8269628416419286,0.005897126325152672,5
Adult,500,Accuracy,LightGBM,0.8279864878697923,0.0049138217727793514,5
Adult,500,Accuracy,CatBoost,0.8483775207288362,0.0009935170894504132,5
Adult,500,Accuracy,TabPFN,0.8439144231753506,0.003308610835881751,5
Adult,500,Precision,XGBoost,0.6604899339298147,0.012182964100035838,5
Adult,500,Precision,LightGBM,0.6674316711340053,0.018896064762128028,5
Adult,500,Precision,CatBoost,0.7378022948053998,0.021327904371081178,5
Adult,500,Precision,TabPFN,0.714090813781364,0.031325357937786645,5
Adult,500,Recall,XGBoost,0.5701454234388367,0.03467402600429639,5
Adult,500,Recall,LightGBM,0.563130881094953,0.03288076286437582,5
Adult,500,Recall,CatBoost,0.5706586826347305,0.028402725430009823,5
Adult,500,Recall,TabPFN,0.5856287425149701,0.048088480602067975,5
Adult,500,F1,XGBoost,0.6115619900280533,0.02150572556262355,5
Adult,500,F1,LightGBM,0.6101008003915102,0.015992344860023804,5
Adult,500,F1,CatBoost,0.642771978061466,0.010290348969102251,5
Adult,500,F1,TabPFN,0.6415438871137299,0.019695951522925834,5
Adult,500,ROC_AUC,XGBoost,0.8686966743599139,0.005444795517133737,5
Adult,500,ROC_AUC,LightGBM,0.8707514033585749,0.006466366369477332,5
Adult,500,ROC_AUC,CatBoost,0.8967675123252544,0.001997568995785841,5
Adult,500,ROC_AUC,TabPFN,0.8954746830233645,0.003218852357471039,5
