Dataset,Training_Regime,Metric,Comparison,N,TabPFN_Mean,Tree_Mean,Mean_Difference,Difference_SD
Bank Marketing,Small,ROC_AUC,TabPFN vs XGBoost,30,0.752,0.6437,0.1083,0.0837
Bank Marketing,Small,ROC_AUC,TabPFN vs LightGBM,30,0.752,0.6195,0.1325,0.0977
Bank Marketing,Small,ROC_AUC,TabPFN vs CatBoost,30,0.752,0.7326,0.0194,0.0336
Bank Marketing,Medium,Accuracy,TabPFN vs XGBoost,25,0.8953,0.8824,0.0129,0.0057
Bank Marketing,Medium,Accuracy,TabPFN vs LightGBM,25,0.8953,0.8829,0.0124,0.0058
Bank Marketing,Medium,Accuracy,TabPFN vs CatBoost,25,0.8953,0.8931,0.0022,0.0037
Bank Marketing,Medium,Precision,TabPFN vs XGBoost,25,0.6237,0.4965,0.1271,0.062
Bank Marketing,Medium,Precision,TabPFN vs LightGBM,25,0.6237,0.5012,0.1224,0.066
Bank Marketing,Medium,Precision,TabPFN vs CatBoost,25,0.6237,0.6022,0.0215,0.0661
Bank Marketing,Medium,Recall,TabPFN vs XGBoost,25,0.27,0.2907,-0.0208,0.081
Bank Marketing,Medium,Recall,TabPFN vs LightGBM,25,0.27,0.2732,-0.0033,0.0868
Bank Marketing,Medium,Recall,TabPFN vs CatBoost,25,0.27,0.2335,0.0364,0.0519
Bank Marketing,Medium,F1,TabPFN vs XGBoost,25,0.3652,0.3655,-0.0002,0.0859
Bank Marketing,Medium,F1,TabPFN vs LightGBM,25,0.3652,0.3519,0.0133,0.0909
Bank Marketing,Medium,F1,TabPFN vs CatBoost,25,0.3652,0.3285,0.0367,0.0539
Bank Marketing,Medium,ROC_AUC,TabPFN vs XGBoost,25,0.8907,0.8364,0.0543,0.0165
Bank Marketing,Medium,ROC_AUC,TabPFN vs LightGBM,25,0.8907,0.8388,0.0519,0.017
Bank Marketing,Medium,ROC_AUC,TabPFN vs CatBoost,25,0.8907,0.88,0.0107,0.0105
Bank Marketing,Large,Accuracy,TabPFN vs XGBoost,50,0.909,0.8983,0.0107,0.0022
Bank Marketing,Large,Accuracy,TabPFN vs LightGBM,50,0.909,0.9009,0.0081,0.0026
Bank Marketing,Large,Accuracy,TabPFN vs CatBoost,50,0.909,0.9052,0.0037,0.0016
Bank Marketing,Large,Precision,TabPFN vs XGBoost,50,0.6483,0.5884,0.0598,0.0217
Bank Marketing,Large,Precision,TabPFN vs LightGBM,50,0.6483,0.6098,0.0385,0.0265
Bank Marketing,Large,Precision,TabPFN vs CatBoost,50,0.6483,0.6451,0.0032,0.0113
Bank Marketing,Large,Recall,TabPFN vs XGBoost,50,0.4858,0.4302,0.0555,0.0334
Bank Marketing,Large,Recall,TabPFN vs LightGBM,50,0.4858,0.4193,0.0665,0.0275
Bank Marketing,Large,Recall,TabPFN vs CatBoost,50,0.4858,0.4215,0.0643,0.0212
Bank Marketing,Large,F1,TabPFN vs XGBoost,50,0.5521,0.4963,0.0559,0.0212
Bank Marketing,Large,F1,TabPFN vs LightGBM,50,0.5521,0.4957,0.0564,0.0172
Bank Marketing,Large,F1,TabPFN vs CatBoost,50,0.5521,0.5077,0.0445,0.0135
Bank Marketing,Large,ROC_AUC,TabPFN vs XGBoost,50,0.9339,0.906,0.0279,0.0092
Bank Marketing,Large,ROC_AUC,TabPFN vs LightGBM,50,0.9339,0.9131,0.0208,0.0101
Bank Marketing,Large,ROC_AUC,TabPFN vs CatBoost,50,0.9339,0.9225,0.0114,0.0032
