Accuracy,Precision,Recall,F1,ROC_AUC,Prediction_Time,Model,Samples,Seed,Training_Time
0.7606715119254785,0.0,0.0,0.0,0.5,0.047460943000032785,XGBoost,10,42,0.03755735000004279
0.7606715119254785,0.0,0.0,0.0,0.5,0.04924167700005455,LightGBM,10,42,0.01592308299996148
0.6992527382536595,0.2,0.0855431993156544,0.11983223487118035,0.5247837562086738,0.053123183000025165,CatBoost,10,42,0.2794706879999467
0.7606715119254785,0.0,0.0,0.0,0.5402106278244595,3.3082264780000514,TabPFN,10,42,0.694568302999869
0.7488995803050466,0.3566084788029925,0.0611633875106929,0.10441767068273092,0.6955434249443325,0.050418714999977965,XGBoost,20,42,0.04219813700001396
0.7606715119254785,0.0,0.0,0.0,0.5,0.04470902399998522,LightGBM,20,42,0.016272783999966123
0.7625140751356331,0.5252808988764045,0.07998289136013687,0.13882702301410543,0.7290236126167413,0.05451637200008008,CatBoost,20,42,0.3287042790000214
0.7606715119254785,0.5,0.000427715996578272,0.0008547008547008547,0.7321844286512044,2.193016193000176,TabPFN,20,42,0.7741406559998723
0.7317023236769372,0.3898832684824903,0.21428571428571427,0.2765663814518355,0.6110147488631941,0.05500155699996867,XGBoost,35,42,0.05364159100008692
0.7606715119254785,0.0,0.0,0.0,0.5,0.04640787899984389,LightGBM,35,42,0.016860532999999123
0.772852902037056,0.673469387755102,0.09880239520958084,0.17232375979112272,0.791230360088405,0.05967508700018698,CatBoost,35,42,0.23642107000000578
0.7607738765482649,1.0,0.000427715996578272,0.0008550662676357417,0.7701702828842576,2.361175479999929,TabPFN,35,42,0.7605631769999945
0.7668133892926604,0.5249169435215947,0.2703165098374679,0.35686053077357427,0.7299398549921323,0.05297081900016565,XGBoost,50,42,0.050043081000012535
0.7642542737230014,0.5140562248995983,0.2737382378100941,0.3572425341892269,0.7664874127401232,0.06076464400007353,LightGBM,50,42,0.04565167299983841
0.7938376497082609,0.7507739938080495,0.20744225834046193,0.3250670241286863,0.8051518509782442,0.056809875999988435,CatBoost,50,42,0.21948583099992902
0.7939400143310472,0.6882966396292005,0.2540633019674936,0.3711340206185567,0.829442907828728,2.281934242000034,TabPFN,50,42,0.7323684120001417
0.7632306274951377,0.5071963154864709,0.37681779298545764,0.43239263803680983,0.7562978892552286,0.05645049499980814,XGBoost,75,42,0.053642408000087016
0.755758010031733,0.4897260273972603,0.4893071000855432,0.4895164741121095,0.7972482280378398,0.07134255300002224,LightGBM,75,42,0.03161649900016528
0.7994677039615109,0.6210862619808307,0.41573994867408043,0.4980784012298232,0.8357747852815045,0.05645027199989272,CatBoost,75,42,0.23828160599987314
0.789128877060088,0.5837349397590361,0.4144568006843456,0.4847423711855928,0.8136389139939164,2.3711308619999727,TabPFN,75,42,0.6341734000000088
0.7649708260825059,0.5106275303643725,0.4315654405474765,0.4677793231339824,0.7551409666968617,0.057463267000002816,XGBoost,100,42,0.05750614999988102
0.7537107175760057,0.4838095238095238,0.4345594525235244,0.45786390265885535,0.7646656338398813,0.08296060999987276,LightGBM,100,42,0.03707084899997426
