Accuracy,Precision,Recall,F1,ROC_AUC,Prediction_Time,Model,Samples,Seed,Training_Time
0.8830034280659074,0.0,0.0,0.0,0.5,0.042554641000151605,XGBoost,10,42,0.0370058590001463
0.8830034280659074,0.0,0.0,0.0,0.5,0.03856427900018389,LightGBM,10,42,0.01458943099987664
0.8822293486674776,0.34782608695652173,0.007561436672967864,0.014801110083256245,0.5092055875087149,0.04764652300036687,CatBoost,10,42,0.25892002599994157
0.8337940948800177,0.1157167530224525,0.06332703213610585,0.08185705558949298,0.4771916980444193,2.1614993700000014,TabPFN,10,42,0.6388763459999609
0.8830034280659074,0.0,0.0,0.0,0.5,0.04245933199990759,XGBoost,20,42,0.03756800100018154
0.8830034280659074,0.0,0.0,0.0,0.5,0.03875346199993146,LightGBM,20,42,0.01568429600001764
0.8836669246931328,0.575,0.021739130434782608,0.04189435336976321,0.6204992110680114,0.04344092200017258,CatBoost,20,42,0.29269133899970257
0.8830034280659074,0.0,0.0,0.0,0.5934090147760509,2.106604592000167,TabPFN,20,42,0.6286305190001258
0.885546831803605,0.5461847389558233,0.1285444234404537,0.20811017597551645,0.7506823995369388,0.03858417900028144,XGBoost,35,42,0.041485432000172295
0.8830034280659074,0.0,0.0,0.0,0.5,0.03300602900026206,LightGBM,35,42,0.014816230999713298
0.8910759703638174,0.718562874251497,0.11342155009451796,0.19591836734693877,0.6787008485901614,0.042428332999861595,CatBoost,35,42,0.3291262549996645
0.8841092557779497,0.6785714285714286,0.017958412098298678,0.034990791896869246,0.7033352943195712,2.2632396919998428,TabPFN,35,42,0.638764897999863
0.8663054296140661,0.29315068493150687,0.10113421550094517,0.15038650737877723,0.7286059755235773,0.038546850999864546,XGBoost,50,42,0.043688997000117524
0.8781377861329205,0.2708333333333333,0.024574669187145556,0.045060658578856154,0.736142081146952,0.05111134399976436,LightGBM,50,42,0.023235311999997066
0.8919606325334513,0.7872340425531915,0.10491493383742911,0.18515429524603835,0.7710119280834931,0.04304206400001931,CatBoost,50,42,0.33696698499989
0.8830034280659074,0.0,0.0,0.0,0.8133566836684568,2.267232989999684,TabPFN,50,42,0.6234854170002109
0.8748203029967931,0.40106951871657753,0.14177693761814744,0.20949720670391062,0.7823655057391399,0.04187777000015558,XGBoost,75,42,0.04925218100015627
0.8657525157580449,0.23825503355704697,0.0671077504725898,0.10471976401179942,0.7394812816564138,0.06453868199969293,LightGBM,75,42,0.028057289000116725
0.8886431493973239,0.7339449541284404,0.07561436672967864,0.13710368466152528,0.8034043036743043,0.04403169399984108,CatBoost,75,42,0.35479408200035323
0.8901913081941834,0.6217228464419475,0.15689981096408318,0.25056603773584907,0.8533564232557975,2.341656490999867,TabPFN,75,42,0.6817814820001331
0.8799071104721884,0.4799426934097421,0.3166351606805293,0.3815489749430524,0.8184939152214752,0.03726876400014589,XGBoost,100,42,0.04817922300026112
0.8774742895056951,0.4594155844155844,0.2674858223062382,0.33811230585424135,0.8218920045027717,0.06906074800008355,LightGBM,100,42,0.03428423900004418
0.8945040362711489,0.7184873949579832,0.16162570888468808,0.2638888888888889,0.8351007856176457,0.03920857599996452,CatBoost,100,42,0.3380595630001153
0.8937299568727193,0.6373937677053825,0.21266540642722118,0.3189227498228207,0.8541175384375004,2.372058959000242,TabPFN,100,42,0.6270449329999792
0.8844410040915626,0.5108153078202995,0.29017013232514177,0.37010247136829416,0.8174674158659964,0.039371149000089645,XGBoost,150,42,0.05363073800026541
0.8791330310737587,0.47619047619047616,0.33081285444234404,0.39040713887339656,0.8208064388213722,0.08634335599981569,LightGBM,150,42,0.046653313000206253
0.8877584872276899,0.5863453815261044,0.13799621928166353,0.2234123947972456,0.8497628469258875,0.041551130000243575,CatBoost,150,42,0.3649293069997839
0.8907442220502045,0.5961538461538461,0.2051039697542533,0.30520393811533053,0.8513959894083069,2.3907052290001047,TabPFN,150,42,0.6567197140002463
0.8820081831250691,0.4924114671163575,0.27599243856332706,0.35372501514233795,0.8230754024855205,0.03920217299992146,XGBoost,250,42,0.061154244000135805
0.8809023554130266,0.4826325411334552,0.2495274102079395,0.32897196261682243,0.8117382189904748,0.08590694399981658,LightGBM,250,42,0.06207814299978054
0.8869844078292602,0.5393013100436681,0.2334593572778828,0.3258575197889182,0.8565761890501211,0.0429824269999699,CatBoost,250,42,0.36081330499973774
0.8893066460245493,0.5467980295566502,0.31474480151228734,0.39952009598080385,0.8523562610897323,2.4652100789999167,TabPFN,250,42,0.6501405220001288
0.8816764348114564,0.4893238434163701,0.2599243856332703,0.3395061728395062,0.8169822197338346,0.04388672300001417,XGBoost,500,42,0.08309153800018976
0.8813446864978436,0.48514851485148514,0.23156899810964082,0.31349968010236723,0.8263865494494047,0.11711071300032927,LightGBM,500,42,0.11981542000012269
0.891850049762247,0.6,0.22684310018903592,0.3292181069958848,0.8766226371990015,0.04048883299992667,CatBoost,500,42,0.37413608599990766
0.8921817980758597,0.6238805970149254,0.19754253308128544,0.30007178750897345,0.8692856288906537,2.6130746469998485,TabPFN,500,42,0.642583107000064
0.8879796527700984,0.5367047308319739,0.31096408317580343,0.3937761819269898,0.8481584682053899,0.045242229999985284,XGBoost,750,42,0.10320731100000557
0.8937299568727193,0.5855379188712522,0.31379962192816635,0.4086153846153846,0.8603853160403543,0.12571274399988397,LightGBM,750,42,0.19475016900014452
0.8941722879575362,0.6129753914988815,0.2589792060491493,0.36411960132890364,0.8888806161837,0.04047781999997824,CatBoost,750,42,0.4109540780000316
0.8994802609753401,0.6347197106690777,0.33175803402646503,0.43575418994413406,0.8994440189722459,2.7688388110000233,TabPFN,750,42,0.6505159919997823
0.8885325666261197,0.538109756097561,0.333648393194707,0.411901983663944,0.859986292824566,0.04555090799976824,XGBoost,1000,42,0.11966704099995695
0.893177043016698,0.5759075907590759,0.32986767485822305,0.41947115384615385,0.8718105663620233,0.12643538100019214,LightGBM,1000,42,0.1688989650001531
0.8949463673559659,0.60546875,0.29300567107750475,0.39490445859872614,0.8954669258167193,0.041497419999814156,CatBoost,1000,42,0.41990053000017724
0.898595598805706,0.6261180679785331,0.33081285444234404,0.4329004329004329,0.9135074862721098,2.927657533999991,TabPFN,1000,42,0.9005871020003724
0.892734711931881,0.5681114551083591,0.34688090737240074,0.4307511737089202,0.8714559316677184,0.04963783399989552,XGBoost,1500,42,0.15007304999971893
0.8926241291606768,0.5789473684210527,0.30151228733459357,0.39651957737725296,0.8802073358246143,0.13136669000004986,LightGBM,1500,42,0.2047113690000515
0.8970474400088466,0.6191369606003753,0.31190926275992437,0.41483343808925205,0.9017841818248533,0.04198057099983998,CatBoost,1500,42,0.47047210400023687
0.9009178370009953,0.6332236842105263,0.3638941398865784,0.46218487394957986,0.9155198842820839,3.2923819180000464,TabPFN,1500,42,0.6605346040000768
0.8932876257879022,0.5716486902927581,0.3506616257088847,0.434680726420621,0.8884917727355047,0.050375381000321795,XGBoost,2000,42,0.17623675900040325
0.8976003538648678,0.613013698630137,0.3383742911153119,0.43605359317904996,0.8908293314615188,0.12430520500038256,LightGBM,2000,42,0.19766998000022795
0.8991485126617274,0.6262975778546713,0.34215500945179583,0.44254278728606355,0.909824896160452,0.041242069999952946,CatBoost,2000,42,0.5152014420000341
0.9034612407386929,0.6382660687593423,0.40359168241965976,0.4944991314418066,0.9252510910698578,3.6066911059997437,TabPFN,2000,42,0.6713117929998589
0.8921817980758597,0.5567715458276333,0.3846880907372401,0.45500279485746226,0.8973481705418833,0.051117969999722845,XGBoost,3000,42,0.19655188600017937
0.8976003538648678,0.5988023952095808,0.3780718336483932,0.46349942062572425,0.902031455481864,0.12072872299995652,LightGBM,3000,42,0.21852102200000445
0.902134247484242,0.6370839936608558,0.3799621928166352,0.47602131438721135,0.9156685562367057,0.04080516399972112,CatBoost,3000,42,0.5755623069999274
0.9044564856795311,0.6303763440860215,0.44328922495274103,0.5205327413984462,0.9299421292049248,4.355607402999794,TabPFN,3000,42,0.650003987999753
0.8943934534999447,0.5651074589127687,0.4224952741020794,0.48350459707950244,0.904327940029332,0.04753388500012079,XGBoost,4000,42,0.22699089700017794
0.8993696782041358,0.5994623655913979,0.4215500945179584,0.49500554938956715,0.9072453904000056,0.11382190799986347,LightGBM,4000,42,0.26583610500028954
0.9025765785690589,0.6262482168330956,0.41493383742911155,0.4991472427515634,0.9188362394991554,0.04036070900019695,CatBoost,4000,42,0.6350316629996087
0.9062258100187991,0.6286764705882353,0.4848771266540643,0.5474919957310566,0.9309591590091535,5.276886789999935,TabPFN,4000,42,0.6581380930001615
0.8974897710936636,0.5828065739570164,0.43572778827977315,0.49864791779340184,0.9081845331452049,0.04664603299988812,XGBoost,6000,42,0.25978081299990663
0.9025765785690589,0.6200814111261872,0.43194706994328924,0.509192200557103,0.9149937323407665,0.10031848700009505,LightGBM,6000,42,0.2687337120000848
0.9063363927900033,0.6431478968792401,0.44801512287334594,0.528133704735376,0.9235120671675271,0.03980370299996139,CatBoost,6000,42,0.7754593629997544
0.90755280327325,0.6293706293706294,0.5103969754253308,0.5636743215031316,0.9345058610603768,7.059943043999738,TabPFN,6000,42,0.7104586399996151
0.899037929890523,0.5900621118012422,0.44896030245746693,0.5099302200751477,0.9098085611845462,0.048571567999715626,XGBoost,8000,42,0.3460066560000996
0.9006966714585868,0.603359173126615,0.44139886578449905,0.509825327510917,0.9174819753010429,0.10123322000026747,LightGBM,8000,42,0.35403386600000886
0.9082162999004755,0.6492146596858639,0.46880907372400754,0.544456641053787,0.9274274898705394,0.038881828999819845,CatBoost,8000,42,0.8540752999997494
0.9105385380957647,0.641316685584563,0.5340264650283554,0.5827746260959258,0.9361823267397636,9.230315711999992,TabPFN,8000,42,0.6861540539998714
0.9006966714585868,0.5970873786407767,0.46502835538752363,0.5228480340063762,0.9143618173489281,0.04989305500021146,XGBoost,12000,42,0.406052259000262
0.9032400751962845,0.6186770428015564,0.45085066162570886,0.5215965008201203,0.9245701711503019,0.09706300200014084,LightGBM,12000,42,0.37868701199977295
0.9091009620701095,0.6607629427792916,0.45841209829867674,0.5412946428571429,0.9293908829527954,0.0439315529997657,CatBoost,12000,42,1.1061797550000847
0.9112020347229901,0.6498237367802585,0.5226843100189036,0.5793609219486642,0.9373036399771312,14.43259105199968,TabPFN,12000,42,0.7042510969999967
0.9020236647130377,0.6043689320388349,0.4706994328922495,0.5292242295430393,0.9189169674235599,0.04884665399958976,XGBoost,16000,42,0.46977939099997457
0.9056728961627778,0.631578947368421,0.46502835538752363,0.5356559608056614,0.9290325788073811,0.0917056009998305,LightGBM,16000,42,0.44070669300026566
0.9085480482140883,0.6567164179104478,0.45746691871455575,0.5392757660167131,0.9298797485360666,0.04132184199988842,CatBoost,16000,42,1.2000495839997711
0.9108702864093774,0.6412556053811659,0.5406427221172023,0.5866666666666667,0.9389950201997365,20.67114409099986,TabPFN,16000,42,0.750370847999875
0.9042353201371226,0.6148325358851675,0.48582230623818523,0.542766631467793,0.9233813873602797,0.050964116000159265,XGBoost,24000,42,0.6642525239999486
0.9065575583324118,0.6336260978670013,0.4773156899810964,0.5444743935309974,0.9312935525376622,0.09458378999988781,LightGBM,24000,42,0.5696222540000235
0.9103173725533562,0.6610169491525424,0.4792060491493384,0.5556164383561644,0.9327172995680699,0.037409135999951104,CatBoost,24000,42,1.413348946000042
0.9136348556894835,0.6533776301218162,0.55765595463138,0.6017338092809791,0.9409738013027735,36.56258628999967,TabPFN,24000,42,0.7415662360003807
0.9069998894172288,0.6287069988137604,0.500945179584121,0.5576012624934246,0.9271842407728101,0.05736045599996942,XGBoost,32000,42,0.7969065120000778
0.906668141103616,0.6344221105527639,0.4773156899810964,0.5447680690399137,0.9336680425135503,0.08907123199969647,LightGBM,32000,42,0.6540359169998737
0.9094327103837222,0.6537966537966537,0.48015122873345933,0.5536784741144414,0.9334567531512892,0.039734505000069475,CatBoost,32000,42,1.5980470750000677
0.9152935972575472,0.6640449438202247,0.558601134215501,0.606776180698152,0.9417867622775691,56.83222522300002,TabPFN,32000,42,0.8235117399999581
0.8830034280659074,0.0,0.0,0.0,0.5,0.044314849999864236,XGBoost,10,123,0.035688762000063434
0.8830034280659074,0.0,0.0,0.0,0.5,0.03754538700013654,LightGBM,10,123,0.015043563999824983
0.8828928452947031,0.3333333333333333,0.000945179584120983,0.001885014137606032,0.6643511049190767,0.046413105000283394,CatBoost,10,123,0.286853279999832
